Id,Prediction
r9678_c581,4
r9309_c716,4
r3897_c599,2
r1007_c326,1
r5834_c654,5
r1417_c794,3
r7917_c791,3
r1334_c134,4
r2079_c173,2
r9980_c552,3
r9944_c778,4
r9961_c462,3
r9636_c563,4
r6450_c720,4
r7098_c180,5
r6491_c518,4
r9508_c262,3
r6820_c113,1
r7640_c188,4
r8155_c741,4
r6102_c322,5
r4543_c645,4
r5564_c553,4
r8733_c702,4
r1731_c674,5
r4907_c177,5
r5264_c643,5
r748_c737,3
r7431_c459,3
r2160_c353,3
r4931_c131,5
r4072_c178,3
r3725_c312,3
r8473_c646,4
r4978_c306,5
r4645_c612,5
r7164_c495,5
r9613_c672,5
r1912_c428,4
r1761_c200,5
r7710_c388,2
r6386_c862,5
r8735_c304,4
r8941_c863,4
r6172_c647,4
r4073_c748,4
r9666_c496,4
r8132_c960,1
r7323_c300,5
r3958_c197,4
r5454_c106,3
r2003_c120,5
r3401_c10,3
r2617_c978,3
r7148_c471,5
r3405_c785,5
r7485_c411,3
r9993_c55,2
r2738_c434,5
r5596_c696,3
r8760_c969,5
r2676_c652,3
r8005_c161,5
r1129_c640,5
r8923_c179,3
r200_c138,3
r3348_c987,4
r8713_c285,1
r1637_c822,5
r5014_c160,5
r9642_c6,4
r8284_c635,5
r3266_c685,5
r56_c495,5
r3324_c148,5
r6171_c557,4
r7283_c4,5
r78_c573,5
r4013_c320,5
r1093_c320,3
r7416_c295,3
r919_c247,4
r6485_c359,4
r4914_c775,3
r7869_c118,4
r922_c495,5
r2605_c134,3
r8017_c214,5
r7512_c692,3
r217_c651,5
r9980_c175,2
r4603_c952,3
r5228_c922,4
r2383_c668,5
r9606_c729,5
r3158_c697,4
r7099_c596,5
r2787_c794,5
r404_c656,5
r86_c481,5
r9602_c31,3
r1777_c112,3
r1534_c644,5
r3327_c755,5
r6968_c40,3
r3134_c522,5
r3583_c298,3
r4050_c257,5
r9863_c911,3
r8746_c651,5
r8700_c359,5
r7621_c613,5
r4468_c509,4
r8414_c738,5
r1053_c745,2
r8249_c581,5
r3259_c42,5
r515_c838,1
r7539_c156,5
r8935_c864,3
r3691_c21,5
r667_c403,4
r8685_c146,3
r9654_c179,3
r1512_c579,4
r695_c71,5
r9493_c808,4
r9958_c15,2
r9295_c260,4
r8859_c624,5
r9371_c363,5
r690_c270,5
r6085_c296,5
r1771_c783,4
r406_c206,3
r5880_c148,3
r7849_c597,3
r8334_c214,5
r3794_c236,5
r9690_c532,1
r6714_c367,5
r1182_c191,5
r6834_c642,1
r8040_c726,4
r1922_c23,3
r3015_c601,4
r1010_c639,4
r5129_c998,4
r1635_c691,4
r9199_c668,5
r7158_c679,3
r7867_c667,4
r1970_c561,3
r6876_c729,3
r1487_c159,4
r4970_c339,3
r35_c302,4
r8994_c743,3
r9662_c755,5
r2171_c213,5
r5101_c925,5
r9043_c200,3
r88_c176,5
r8568_c672,5
r2983_c84,5
r1146_c668,5
r8837_c60,5
r9472_c300,4
r9296_c482,4
r2160_c596,3
r1190_c970,2
r587_c806,5
r7947_c551,3
r8785_c488,5
r404_c504,3
r4663_c163,2
r209_c942,1
r174_c7,2
r606_c547,4
r8080_c739,5
r6426_c125,2
r5953_c982,5
r7828_c670,5
r8905_c586,5
r4440_c184,5
r3797_c989,3
r3934_c770,2
r1461_c653,4
r3315_c622,5
r7120_c686,5
r6695_c661,5
r355_c716,3
r209_c131,2
r1782_c790,4
r7724_c283,5
r8917_c216,4
r3110_c982,4
r229_c184,2
r5210_c642,5
r8983_c874,5
r1523_c186,3
r6788_c694,5
r6610_c585,3
r9172_c122,3
r9501_c44,5
r3130_c913,1
r5385_c650,4
r7193_c8,3
r7723_c457,5
r4927_c618,5
r8326_c297,2
r6508_c536,5
r9932_c370,5
r4645_c964,1
r9365_c221,3
r5748_c799,3
r2616_c471,4
r6898_c667,4
r1528_c499,3
r4843_c772,5
r4958_c193,4
r754_c625,3
r5381_c102,4
r2705_c106,3
r3373_c799,4
r1708_c199,4
r8077_c548,4
r8695_c142,4
r7788_c645,5
r4206_c250,3
r5242_c606,5
r8530_c214,4
r2905_c317,4
r9680_c322,5
r3822_c257,5
r8417_c891,1
r3717_c34,5
r7511_c570,4
r5918_c867,3
r9339_c10,3
r7307_c338,5
r3703_c367,5
r1762_c705,5
r2563_c785,5
r417_c705,3
r2199_c794,4
r5794_c787,2
r4500_c352,4
r2686_c644,5
r967_c71,5
r9771_c805,5
r6376_c134,5
r1500_c950,4
r2106_c622,5
r9486_c545,4
r3325_c607,4
r3092_c986,2
r6612_c95,4
r41_c251,5
r9307_c45,4
r9916_c397,3
r7437_c33,2
r2781_c283,5
r3820_c617,4
r5242_c791,5
r8976_c887,4
r8436_c586,4
r1832_c668,5
r6231_c668,5
r9172_c326,5
r4309_c982,5
r4199_c122,3
r5821_c808,4
r2442_c883,5
r1208_c616,5
r7589_c576,5
r2792_c86,4
r2200_c275,5
r8768_c705,5
r4757_c663,5
r376_c608,5
r1734_c608,4
r264_c352,3
r4513_c427,5
r7631_c4,5
r2465_c264,4
r5267_c553,4
r3231_c492,5
r5647_c594,5
r5399_c585,4
r4409_c93,3
r170_c473,4
r4645_c481,2
r9645_c810,4
r513_c80,4
r2153_c595,5
r9660_c899,4
r7151_c334,3
r3077_c490,4
r8818_c51,3
r2659_c495,5
r8770_c585,4
r3489_c489,4
r6783_c251,4
r4284_c10,3
r1302_c786,3
r8370_c485,5
r7305_c697,4
r4135_c44,3
r104_c605,4
r7729_c425,3
r4391_c295,5
r4852_c376,2
r6828_c556,3
r1252_c577,4
r6303_c53,5
r3834_c774,5
r4657_c174,4
r5779_c698,4
r9651_c573,5
r7126_c617,3
r4156_c351,3
r7828_c664,4
r3816_c97,1
r2913_c253,4
r890_c163,3
r4858_c173,5
r7530_c341,3
r2372_c8,4
r9860_c474,4
r7248_c747,4
r3118_c188,5
r7855_c655,5
r7708_c654,4
r3179_c662,4
r7932_c285,5
r9193_c829,4
r4038_c759,4
r9312_c730,1
r8550_c89,5
r5710_c818,4
r5477_c85,3
r2351_c638,5
r986_c198,3
r4676_c761,2
r9207_c220,4
r8339_c326,5
r1623_c186,3
r6583_c249,3
r2481_c650,5
r6607_c393,5
r7628_c559,5
r7628_c253,5
r2395_c645,5
r6256_c192,2
r6818_c705,5
r187_c894,3
r2255_c342,3
r1104_c876,3
r5324_c447,4
r4178_c644,5
r3487_c5,4
r2722_c379,3
r6445_c915,3
r7649_c59,3
r7959_c608,5
r1182_c844,5
r4218_c247,5
r1256_c444,4
r8725_c458,4
r2233_c430,5
r8787_c536,5
r2678_c536,5
r2300_c740,2
r8957_c416,3
r3818_c278,4
r4811_c718,5
r9440_c191,5
r7146_c156,5
r1400_c597,5
r983_c391,4
r5711_c219,3
r6749_c218,4
r6135_c982,4
r5099_c291,2
r3668_c147,4
r5706_c307,4
r1470_c478,1
r5006_c446,5
r5712_c772,3
r3542_c783,3
r8353_c950,5
r9944_c699,3
r5908_c789,5
r8137_c682,5
r7695_c4,5
r1019_c981,4
r7378_c420,5
r2_c465,5
r1731_c188,4
r1795_c256,5
r6131_c705,3
r9634_c477,5
r3702_c701,4
r542_c15,4
r9556_c156,5
r3088_c596,5
r2715_c573,4
r6862_c187,3
r3376_c302,4
r4083_c684,3
r8550_c196,3
r2660_c525,3
r519_c987,3
r8323_c265,5
r3048_c455,2
r5146_c5,4
r22_c591,5
r9209_c159,3
r5611_c768,4
r2676_c156,3
r652_c805,5
r7832_c718,5
r7179_c718,3
r7714_c787,2
r9631_c852,5
r5532_c396,5
r1683_c672,1
r8594_c15,4
r2615_c89,5
r497_c599,4
r2029_c72,5
r5745_c487,5
r8752_c262,4
r1498_c44,1
r2305_c454,5
r1036_c426,3
r7010_c3,3
r7911_c140,4
r2763_c667,4
r3185_c549,4
r8568_c14,5
r6531_c576,4
r9645_c931,4
r1104_c396,4
r8283_c552,1
r5756_c398,3
r9913_c801,2
r1942_c464,2
r6006_c675,2
r3630_c933,4
r8568_c544,4
r2293_c197,3
r9195_c874,4
r9756_c494,5
r4056_c246,3
r7876_c534,5
r3709_c367,4
r3220_c612,5
r6804_c471,5
r887_c785,3
r9426_c824,4
r5934_c77,2
r7495_c65,4
r7574_c529,5
r3260_c41,4
r7370_c44,4
r9178_c477,4
r132_c434,5
r5361_c148,3
r3838_c792,4
r4756_c803,4
r3051_c984,3
r2464_c391,3
r7021_c435,1
r253_c228,5
r9020_c287,3
r4901_c814,2
r5690_c798,3
r2544_c499,4
r4453_c184,4
r5941_c483,3
r9008_c69,3
r5950_c256,5
r4519_c297,5
r2397_c789,4
r8246_c546,4
r1537_c621,3
r810_c803,3
r5487_c779,5
r7122_c816,4
r2_c8,4
r2359_c525,5
r8973_c488,3
r1309_c673,3
r410_c718,5
r1044_c854,4
r3909_c493,4
r8671_c528,5
r7394_c160,1
r1276_c608,3
r3118_c264,5
r3373_c295,4
r8666_c721,2
r776_c617,4
r6859_c304,4
r8886_c207,3
r3511_c980,3
r4437_c685,4
r4671_c361,4
r9346_c528,3
r1887_c216,4
r8969_c290,5
r1929_c380,4
r4026_c320,4
r9456_c645,5
r679_c673,4
r7682_c506,3
r8119_c473,4
r4624_c700,3
r3915_c547,5
r8101_c302,5
r475_c487,3
r9716_c10,5
r8063_c458,4
r1414_c86,3
r7122_c161,4
r4768_c141,5
r8694_c782,4
r3082_c632,5
r9951_c534,5
r7596_c331,4
r4729_c495,5
r878_c473,5
r2366_c706,1
r9812_c733,4
r4847_c785,4
r8199_c986,4
r3490_c412,4
r6368_c466,4
r8317_c193,5
r6491_c571,3
r4488_c650,5
r4946_c622,5
r7794_c911,3
r6989_c521,2
r8814_c88,4
r3718_c93,5
r5709_c360,4
r787_c72,5
r3774_c610,2
r5911_c839,3
r1466_c626,4
r1186_c673,5
r3358_c994,5
r4908_c173,3
r7469_c747,5
r7118_c791,5
r7412_c358,2
r7485_c481,2
r4528_c183,4
r3262_c676,5
r4191_c741,2
r4316_c403,3
r8987_c536,3
r9249_c138,3
r1184_c275,3
r5430_c978,5
r3663_c898,5
r4962_c596,5
r7200_c332,3
r8042_c478,4
r913_c458,5
r5524_c68,3
r9322_c596,4
r5505_c312,4
r2380_c104,3
r1676_c757,2
r2926_c44,5
r9284_c595,5
r3598_c628,5
r971_c453,3
r3774_c597,5
r9957_c565,5
r5863_c60,5
r7028_c60,4
r566_c872,4
r2107_c310,4
r1473_c445,3
r6477_c214,3
r9607_c611,4
r8112_c396,3
r7879_c487,5
r7248_c942,4
r7958_c264,4
r3035_c455,2
r577_c648,5
r1502_c335,5
r9056_c116,3
r685_c335,3
r4281_c843,4
r2244_c536,4
r7303_c156,5
r5817_c174,3
r6810_c771,2
r6065_c739,3
r671_c22,2
r1195_c787,3
r5580_c306,4
r7999_c525,5
r7491_c558,4
r8184_c379,5
r8746_c440,2
r3592_c517,3
r6045_c191,4
r1087_c71,2
r4037_c777,5
r2225_c276,3
r6371_c972,4
r4878_c499,2
r1920_c850,3
r9337_c237,4
r156_c921,4
r3264_c497,5
r370_c576,5
r816_c226,3
r7507_c617,5
r3480_c508,5
r9084_c653,2
r342_c366,1
r6708_c106,5
r8973_c342,4
r2637_c38,4
r5685_c550,5
r6716_c8,4
r8378_c731,4
r4926_c787,4
r185_c591,4
r3223_c3,5
r6749_c467,3
r9127_c774,3
r9918_c22,3
r1951_c226,3
r917_c703,5
r108_c177,5
r1552_c906,4
r1147_c425,2
r9471_c268,3
r643_c251,5
r118_c256,5
r8171_c410,2
r5215_c322,2
r1066_c456,4
r1866_c716,3
r5741_c750,4
r4835_c51,5
r4749_c288,3
r6063_c247,3
r1527_c394,2
r6611_c546,3
r413_c257,4
r6884_c617,5
r7380_c234,5
r6230_c871,3
r8210_c612,5
r5258_c775,5
r7266_c445,4
r8895_c685,4
r3019_c8,1
r2939_c30,3
r2598_c768,4
r9314_c322,5
r3257_c632,5
r1340_c598,5
r1321_c550,3
r3809_c706,4
r8198_c798,5
r3642_c238,2
r8819_c251,3
r9675_c650,5
r3362_c478,4
r8103_c632,5
r1349_c6,5
r8616_c536,5
r7161_c759,2
r4507_c259,4
r5938_c719,5
r9537_c874,2
r2979_c700,5
r6927_c967,5
r5160_c262,3
r5459_c298,4
r3151_c883,4
r9029_c393,5
r1883_c432,5
r8182_c670,5
r5394_c594,5
r2072_c768,3
r4300_c683,3
r5257_c426,5
r4740_c514,3
r5002_c923,2
r9854_c444,3
r9893_c459,5
r2445_c132,3
r6284_c620,4
r7667_c529,4
r6566_c981,5
r9748_c870,5
r5225_c702,5
r720_c262,3
r9258_c543,3
r6039_c800,3
r5633_c417,3
r3855_c604,3
r4536_c706,3
r989_c618,4
r4712_c254,4
r7029_c578,3
r5691_c686,5
r4531_c183,2
r5079_c978,5
r9395_c324,5
r9457_c878,4
r4720_c394,3
r3820_c484,5
r5643_c22,3
r5671_c931,5
r2688_c245,3
r219_c851,3
r5767_c638,5
r330_c118,5
r4278_c335,3
r3518_c236,4
r1568_c844,4
r9313_c99,3
r2382_c60,3
r4150_c89,1
r1124_c922,3
r5165_c731,5
r2658_c124,4
r7211_c422,2
r4694_c308,4
r4384_c416,3
r6351_c196,3
r2535_c44,3
r6048_c697,5
r7971_c17,3
r923_c43,4
r84_c816,5
r1111_c63,1
r6951_c250,5
r8030_c76,5
r897_c632,5
r9556_c145,2
r1666_c93,3
r6042_c366,3
r8291_c882,5
r2573_c799,3
r7731_c792,5
r2388_c120,4
r3457_c60,4
r2757_c370,5
r4424_c214,3
r4530_c360,3
r6643_c44,4
r4197_c921,3
r5678_c706,4
r7127_c474,5
r4703_c61,3
r8039_c680,5
r66_c583,5
r455_c886,2
r8005_c258,3
r3333_c702,2
r7910_c678,3
r5981_c346,3
r1240_c495,3
r3597_c915,3
r3393_c722,4
r3719_c448,5
r732_c498,4
r2526_c86,5
r8736_c332,2
r5769_c927,3
r6345_c51,5
r1959_c247,1
r9533_c756,4
r3698_c434,3
r4110_c623,5
r3120_c694,3
r6139_c673,5
r3932_c805,5
r7751_c701,4
r1006_c721,1
r3794_c418,4
r4201_c982,4
r2236_c76,2
r644_c644,4
r1470_c656,5
r9286_c619,5
r282_c208,4
r8509_c556,3
r9671_c1000,4
r2145_c369,3
r3834_c688,4
r8883_c419,4
r7026_c981,3
r5183_c492,4
r1409_c686,4
r7626_c618,5
r6728_c394,1
r9829_c46,4
r7094_c178,5
r6780_c295,4
r886_c283,3
r6530_c106,1
r6540_c175,4
r4575_c6,5
r2339_c598,2
r9651_c756,5
r4382_c350,3
r6587_c439,5
r1556_c249,4
r8337_c26,5
r5273_c748,2
r1553_c476,5
r7879_c966,3
r4406_c676,5
r3425_c538,5
r8836_c676,5
r2647_c440,3
r1942_c667,4
r1461_c969,4
r9499_c594,5
r1387_c579,3
r5836_c346,2
r7753_c862,3
r518_c970,5
r9711_c230,5
r9249_c988,5
r7347_c171,5
r241_c503,1
r7089_c616,4
r7599_c925,5
r2857_c95,2
r2119_c67,4
r7820_c311,4
r3231_c597,5
r6513_c306,4
r4183_c457,4
r3027_c208,4
r6974_c17,3
r3455_c434,4
r389_c599,5
r1901_c558,4
r7163_c768,4
r7666_c650,4
r2308_c3,3
r6844_c203,3
r9862_c405,5
r3790_c53,3
r1762_c88,3
r1622_c15,4
r6628_c754,4
r9539_c361,3
r3069_c950,4
r593_c925,3
r6061_c959,2
r2939_c241,3
r9099_c77,5
r2784_c485,4
r2623_c193,5
r9061_c21,4
r528_c317,5
r9391_c306,2
r9920_c492,2
r6908_c570,3
r9644_c171,5
r1229_c978,5
r5274_c134,3
r7960_c366,4
r4321_c84,3
r8349_c617,3
r9539_c387,1
r3325_c978,5
r3635_c797,3
r1361_c650,5
r7553_c741,4
r4299_c338,4
r1324_c624,5
r9450_c106,3
r5408_c89,3
r8738_c14,5
r6764_c487,4
r323_c278,5
r7585_c644,3
r6509_c303,5
r6107_c664,5
r2940_c51,5
r6788_c148,5
r5373_c662,3
r8619_c412,4
r976_c274,3
r7385_c650,4
r816_c529,3
r6610_c594,5
r7307_c6,5
r3977_c768,4
r8815_c24,4
r6256_c46,5
r913_c388,4
r8975_c32,3
r3499_c318,4
r7603_c488,5
r2959_c757,2
r5624_c105,4
r8564_c876,5
r440_c674,5
r3014_c234,3
r3900_c20,3
r1402_c664,3
r984_c487,3
r5287_c107,5
r6563_c499,5
r5566_c191,5
r1850_c102,4
r1340_c399,5
r8970_c650,5
r5565_c596,5
r2000_c817,2
r3460_c464,5
r5817_c669,5
r887_c546,5
r4772_c589,2
r4371_c650,5
r7034_c577,5
r7910_c661,5
r2233_c599,3
r7100_c46,4
r4901_c440,5
r6351_c774,5
r2530_c770,2
r5891_c878,4
r2126_c387,4
r380_c794,4
r3628_c611,4
r3510_c518,4
r6349_c685,2
r1797_c766,5
r2904_c750,2
r8981_c789,5
r6323_c184,5
r9842_c508,4
r8779_c596,5
r2694_c610,5
r8318_c686,2
r8181_c897,3
r5556_c156,4
r7517_c474,4
r1920_c642,4
r3713_c301,3
r9681_c102,3
r7972_c184,3
r6312_c169,5
r3998_c46,5
r8626_c641,5
r5136_c620,4
r6324_c6,4
r4703_c563,2
r6742_c506,5
r3552_c925,5
r2517_c624,1
r1128_c765,5
r2323_c245,3
r6573_c81,4
r7875_c399,5
r3110_c149,3
r627_c806,4
r6058_c810,4
r4942_c558,2
r7725_c551,3
r6915_c5,2
r3830_c769,5
r7881_c478,5
r3113_c716,4
r5930_c487,4
r6594_c191,5
r8105_c756,4
r8828_c823,3
r7656_c499,5
r7711_c611,5
r2894_c44,3
r991_c641,3
r8123_c185,2
r3603_c352,4
r4789_c133,3
r7053_c743,3
r8247_c477,4
r4746_c99,2
r8292_c563,3
r8039_c322,4
r5786_c744,3
r8567_c700,3
r3905_c10,5
r3980_c789,4
r2347_c509,4
r8238_c156,5
r803_c11,3
r8862_c647,1
r2784_c541,3
r9479_c210,4
r2725_c259,4
r8101_c418,4
r5739_c146,5
r5693_c14,5
r2840_c29,3
r2922_c960,3
r4593_c272,4
r4193_c802,4
r4891_c776,5
r2174_c551,4
r2081_c743,3
r745_c17,1
r6449_c660,5
r3403_c411,5
r3755_c200,5
r4405_c645,3
r9520_c312,5
r2415_c841,5
r2402_c737,1
r6633_c972,2
r4950_c669,4
r7047_c160,3
r1438_c745,5
r2491_c492,3
r4238_c685,4
r9860_c281,4
r385_c623,5
r9827_c65,5
r5149_c445,5
r7277_c46,5
r4909_c452,1
r3096_c291,2
r5116_c960,2
r6814_c24,3
r8541_c117,3
r6667_c874,3
r7097_c275,3
r8471_c412,4
r6937_c702,4
r6506_c94,5
r6959_c687,4
r8042_c8,3
r7435_c567,3
r1835_c791,5
r5936_c309,1
r6889_c302,5
r9887_c498,2
r4974_c770,5
r6249_c61,5
r9739_c478,4
r816_c844,2
r7105_c759,4
r8084_c980,5
r1871_c967,1
r9451_c595,5
r8763_c921,3
r172_c487,5
r4129_c640,5
r72_c556,5
r5871_c403,4
r2177_c84,1
r92_c32,3
r6823_c514,4
r5385_c789,5
r8815_c576,3
r1653_c632,4
r2004_c745,5
r4173_c380,4
r1668_c491,3
r6904_c743,2
r8298_c60,5
r8723_c596,4
r3562_c683,4
r4544_c567,2
r1941_c352,5
r7317_c412,4
r1489_c444,5
r1330_c445,5
r5012_c250,3
r5928_c527,3
r3778_c972,4
r4942_c303,4
r8964_c117,1
r8581_c501,4
r1537_c619,5
r8570_c792,5
r6386_c751,3
r6014_c214,5
r6681_c705,5
r7726_c384,4
r323_c237,5
r3922_c434,5
r827_c819,2
r8315_c599,5
r4014_c391,5
r7143_c608,5
r8265_c681,3
r7417_c246,4
r2037_c691,4
r9211_c944,3
r6995_c396,2
r445_c632,4
r2163_c534,4
r941_c161,5
r9817_c158,4
r8680_c827,3
r7715_c180,2
r6036_c779,5
r6149_c148,2
r4647_c379,4
r9499_c645,5
r2665_c527,3
r5626_c551,3
r9149_c325,5
r2180_c296,2
r7027_c910,3
r5208_c380,2
r3619_c594,2
r5626_c599,5
r9055_c874,5
r6094_c459,3
r6934_c459,5
r1574_c623,5
r8558_c352,3
r3081_c990,2
r3587_c333,4
r9314_c684,4
r2900_c534,4
r5569_c668,5
r126_c256,5
r3813_c61,2
r2590_c53,5
r5886_c236,1
r1281_c171,4
r2633_c298,4
r8206_c561,3
r7459_c811,1
r4950_c719,5
r2080_c922,5
r5813_c749,4
r7576_c742,5
r8760_c568,4
r2211_c339,3
r1976_c405,1
r5316_c343,2
r6214_c478,4
r5487_c797,5
r981_c994,3
r612_c971,5
r8083_c656,5
r3543_c257,5
r518_c458,5
r2626_c595,5
r9241_c46,5
r8551_c453,2
r53_c188,5
r6374_c664,4
r3104_c631,4
r7260_c148,5
r1201_c636,2
r3800_c902,3
r9724_c331,4
r4996_c301,5
r8172_c396,4
r765_c112,3
r7981_c369,2
r5813_c365,4
r9529_c44,5
r9710_c171,5
r5676_c652,3
r9105_c916,4
r9781_c525,5
r4857_c327,4
r595_c625,3
r6387_c479,2
r6351_c506,4
r1093_c615,5
r6216_c695,3
r6119_c663,5
r2701_c836,2
r3484_c675,5
r2392_c318,5
r4575_c854,5
r199_c31,1
r1762_c306,5
r9365_c266,5
r3534_c216,5
r2880_c370,4
r449_c459,5
r3424_c326,2
r6980_c148,4
r4498_c412,4
r7158_c6,4
r5493_c402,4
r8025_c247,3
r8553_c134,5
r253_c771,3
r5202_c817,3
r5817_c92,2
r9396_c939,3
r2944_c995,5
r9462_c133,2
r1092_c608,5
r825_c203,5
r5072_c863,3
r9180_c671,5
r6742_c497,4
r1085_c423,5
r9131_c131,5
r2486_c247,1
r2518_c287,2
r7857_c465,5
r4108_c498,4
r5496_c775,2
r9047_c246,3
r9261_c161,4
r5236_c471,4
r6336_c743,4
r3135_c671,4
r493_c310,5
r9163_c351,5
r2153_c8,3
r9273_c165,4
r8976_c6,5
r8699_c924,5
r6753_c410,4
r1188_c804,2
r8680_c252,5
r6361_c704,3
r261_c388,3
r1656_c787,1
r6587_c664,4
r9333_c944,1
r7569_c2,4
r7271_c367,3
r7998_c183,1
r3177_c19,2
r1534_c321,5
r9759_c94,5
r7548_c472,2
r1512_c84,5
r3283_c541,1
r8467_c789,3
r8788_c320,5
r8824_c131,5
r9867_c379,1
r6020_c604,5
r1667_c802,4
r4519_c423,5
r3953_c322,3
r2917_c575,2
r1907_c309,5
r1242_c6,4
r999_c617,1
r8719_c421,4
r7239_c575,4
r1512_c117,4
r2785_c393,5
r4914_c789,4
r41_c61,5
r2568_c477,3
r9611_c614,5
r7257_c769,5
r9719_c591,5
r5411_c494,5
r1221_c442,4
r1975_c700,5
r6488_c582,3
r1607_c330,4
r1115_c228,2
r3635_c626,3
r1406_c594,4
r3262_c806,3
r8616_c168,3
r5401_c643,3
r9664_c336,4
r744_c322,5
r8476_c612,5
r5678_c170,3
r8922_c18,3
r845_c995,5
r6146_c733,5
r1004_c181,1
r8663_c227,4
r5122_c596,5
r7831_c686,2
r3489_c551,3
r6146_c51,4
r8131_c545,3
r1037_c492,3
r1005_c989,1
r5595_c399,4
r5207_c942,1
r8446_c779,5
r2912_c191,5
r8651_c806,3
r6590_c631,2
r3931_c348,5
r8365_c533,4
r3418_c942,2
r397_c853,5
r6966_c773,4
r9816_c492,5
r3955_c95,4
r5136_c258,5
r4806_c464,4
r1480_c15,2
r1541_c745,4
r4896_c398,5
r385_c442,3
r4878_c240,4
r2469_c435,2
r493_c683,1
r6983_c876,5
r519_c161,5
r2643_c399,3
r9861_c979,4
r8460_c301,4
r2135_c362,2
r9191_c312,5
r6516_c668,4
r7615_c756,5
r237_c596,4
r6970_c459,3
r9719_c706,5
r8886_c429,3
r9781_c808,3
r3893_c312,5
r1239_c350,2
r782_c942,1
r216_c38,3
r563_c769,5
r943_c411,2
r2486_c793,2
r2819_c389,5
r5415_c621,4
r335_c741,4
r2925_c686,5
r192_c18,2
r703_c317,5
r7461_c792,4
r8568_c883,5
r1544_c605,5
r4441_c258,4
r7631_c256,5
r4920_c855,3
r4557_c950,3
r4339_c14,5
r8719_c459,5
r4299_c490,3
r544_c770,5
r3954_c423,3
r5256_c738,3
r6257_c916,4
r1520_c322,4
r8143_c237,5
r4650_c193,5
r5613_c615,4
r6785_c553,4
r535_c555,4
r4943_c90,2
r5026_c375,5
r3606_c534,5
r2695_c435,2
r396_c896,3
r9347_c808,5
r678_c628,3
r9395_c809,5
r744_c620,3
r6268_c680,4
r5995_c274,3
r7559_c495,3
r2337_c4,3
r9819_c800,4
